,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
2020-08-19,166.48,232.4,150.89,68.21,172.32,166.96,167.37,233.65,150.88,172.14,231.23,190.86,164.62,159.75,161.32,177.94,155.91,162.41,163.69,177.9,210.9,373.72,148.58,174.96,141.15,178.9,202.25,164.75,168.52,155.3,184.78,161.52,260.06,152.1,161.46,157.02,192.87,167.78,179.95,160.2,165.71,176.5,177.51,191.69,171.26,148.92,185.89,239.29,200.98,173.73,238.1,163.1,162.79,145.14,58.55,146.42,171.97,187.12,215.17,102.19,177.15,174.72,200.71,182.25,145.14,200.57,155.71,162.77,171.48,186.42,163.51,161.87,146.79,162.49,162.85,195.53,180.82,214.36,147.87,183.69,143.14,158.14,159.38,183.71,148.59,177.28,153.93,167.24,149.89,182.7,161.48,185.57,166.21
2020-08-20,170.97,243.73,154.45,74.99,178.27,171.77,172.18,244.52,152.32,172.91,239.32,192.79,164.41,164.29,155.78,185.81,159.07,176.92,167.2,193.01,242.55,690.43,153.27,179.52,139.59,199.14,220.21,180.53,169.48,216.19,175.0,165.39,247.59,157.42,178.72,160.96,196.6,173.85,240.25,176.24,191.7,183.41,174.63,175.42,177.51,151.96,196.33,242.74,215.58,182.59,236.81,175.61,172.64,148.66,64.65,157.05,184.85,184.49,237.32,109.67,201.02,190.94,192.85,183.9,143.58,203.31,167.77,170.49,176.15,192.94,179.92,162.27,163.84,171.79,167.02,194.5,164.53,233.27,162.64,189.87,153.52,149.11,163.37,186.99,180.23,183.37,153.61,168.73,156.84,196.22,212.02,207.13,180.0
2020-08-21,201.52,285.68,181.39,79.47,226.1,181.22,202.94,286.71,181.03,203.02,331.14,223.7,209.82,191.13,202.29,199.66,205.46,208.71,197.01,222.86,264.04,773.14,191.34,205.73,157.99,231.43,265.94,229.3,202.32,210.19,211.27,191.06,312.75,187.31,204.67,186.41,211.35,206.9,224.45,193.21,221.78,205.11,224.15,230.98,210.83,173.5,249.29,272.32,259.69,212.95,265.43,196.31,191.99,175.89,66.55,198.43,241.42,236.58,248.55,127.03,248.46,209.63,212.97,217.82,194.88,242.27,192.93,215.26,213.99,227.21,194.02,203.46,196.94,200.66,198.06,230.29,245.71,312.59,174.28,220.42,163.46,197.95,186.32,230.73,205.71,219.06,204.34,192.46,197.54,230.25,191.05,284.92,208.83
2020-08-22,193.61,298.84,171.23,78.54,222.99,170.65,194.37,302.61,207.38,188.93,416.27,222.88,232.73,187.78,207.79,204.15,184.92,201.48,216.51,223.88,256.26,719.23,187.27,180.94,151.77,297.65,330.35,247.61,188.7,197.61,217.41,188.09,300.16,166.66,207.56,181.07,208.1,201.05,229.8,227.43,223.25,206.19,221.38,229.57,201.95,179.5,252.86,282.18,298.83,206.57,271.79,198.85,183.37,163.34,64.41,201.41,245.58,259.71,244.2,118.99,249.65,208.1,386.14,219.09,209.28,256.64,191.52,222.69,178.98,241.06,209.75,201.81,224.95,271.74,198.34,243.32,261.21,336.5,171.94,213.18,143.65,215.02,174.28,200.84,195.87,207.43,222.58,185.31,187.16,211.51,169.26,311.11,208.23
2020-08-23,134.13,175.02,120.93,67.09,146.41,131.97,135.16,177.17,147.01,137.86,316.27,178.68,154.64,143.51,149.72,146.28,127.48,142.57,161.15,161.43,181.28,540.29,127.81,130.41,107.96,219.67,260.31,176.33,133.69,155.77,158.12,129.36,190.18,120.3,168.79,126.77,177.54,141.16,163.64,180.14,208.42,130.13,160.74,149.58,145.66,120.34,178.87,199.61,246.07,176.68,195.74,135.15,130.7,116.67,55.28,131.21,176.21,194.43,190.33,94.16,183.19,139.82,204.32,160.32,161.17,213.61,150.98,166.46,124.54,173.44,133.11,167.65,146.57,206.26,134.21,145.67,197.76,272.6,137.27,178.56,145.63,152.78,132.66,141.14,159.67,149.41,153.52,135.98,119.72,155.11,125.63,257.48,144.1
2020-08-24,152.26,206.61,137.25,72.08,160.48,148.8,152.23,206.6,137.05,240.47,188.33,166.05,168.57,150.74,135.78,283.22,137.67,149.28,152.7,164.94,185.16,707.44,139.95,161.96,130.96,151.96,163.29,169.15,153.16,144.8,156.89,141.53,216.35,140.24,162.87,147.54,163.27,156.1,166.04,160.08,164.07,157.4,148.03,159.88,156.18,143.32,172.95,192.66,193.73,164.84,214.22,155.25,150.52,133.05,63.05,142.52,162.56,172.97,172.13,108.48,169.69,143.54,154.55,171.78,154.27,184.91,162.17,153.34,151.61,160.51,148.75,141.64,139.81,146.27,148.5,175.68,151.77,192.8,138.92,183.7,220.9,144.33,154.05,188.5,150.18,163.84,166.52,160.16,151.72,164.34,151.46,189.34,153.42
2020-08-25,158.68,214.32,141.59,72.01,164.81,166.63,158.49,214.14,140.32,157.26,212.42,166.27,164.58,150.3,157.76,172.06,134.32,157.74,149.25,158.51,186.72,587.44,141.84,169.23,125.84,157.52,167.47,162.55,144.96,150.05,159.24,149.47,231.91,145.19,152.7,151.95,169.9,160.01,172.53,165.25,146.95,189.15,149.86,180.73,164.28,145.18,184.17,206.52,183.43,164.43,216.24,152.79,152.83,136.09,62.4,143.62,171.68,171.93,163.42,92.75,175.09,147.78,159.4,175.18,147.29,185.59,172.45,173.29,175.46,168.8,170.85,151.73,149.84,179.37,151.56,177.52,160.78,178.53,134.06,175.06,196.39,154.62,157.4,175.99,153.25,166.99,189.39,158.97,156.77,177.29,149.41,160.76,160.17
2020-08-26,160.52,215.33,143.04,69.59,162.74,148.57,160.46,215.99,137.5,154.74,202.35,178.83,167.98,153.15,156.49,142.53,147.44,148.26,149.31,166.81,182.95,441.06,141.19,174.49,128.07,143.19,188.57,159.83,151.66,147.83,156.46,151.4,227.43,146.64,159.13,163.15,172.26,168.51,171.29,154.13,145.95,226.82,155.75,188.95,166.8,147.03,184.06,255.9,181.27,163.06,212.71,150.48,161.3,136.35,58.79,142.07,159.12,176.18,152.32,79.82,174.59,166.93,146.43,179.68,135.78,184.49,138.15,208.63,187.69,172.25,156.66,139.49,147.28,146.81,159.49,202.68,159.63,197.35,163.94,162.5,169.16,160.03,152.99,181.44,151.76,176.25,172.46,157.93,153.19,190.48,159.85,159.79,160.99
2020-08-27,164.61,231.49,145.78,66.6,162.88,168.64,164.79,232.65,144.61,153.23,192.57,177.04,177.42,156.8,150.43,155.55,163.48,166.45,148.17,179.97,186.43,392.95,156.11,178.63,135.55,151.53,176.65,163.52,158.22,158.18,191.4,155.54,226.33,146.24,163.96,158.35,177.46,172.45,186.3,155.81,154.82,236.86,158.69,179.07,169.97,145.44,189.16,216.81,187.26,173.94,226.6,169.96,162.48,139.59,55.98,142.43,171.35,180.05,156.7,81.82,181.39,166.06,154.28,188.53,141.43,190.86,145.76,181.3,182.57,180.5,159.94,153.65,159.61,157.6,158.83,170.56,167.99,219.0,157.25,157.24,141.74,163.13,154.87,173.47,167.75,178.86,171.93,157.78,142.88,175.43,167.47,179.45,159.47
2020-08-28,186.21,239.83,165.86,73.69,195.32,190.22,187.27,240.48,158.6,190.04,277.52,197.99,196.06,179.89,200.66,193.59,186.88,185.52,177.92,207.2,207.5,384.06,172.91,203.19,147.65,199.86,222.06,212.42,179.64,192.25,292.68,176.12,274.78,166.11,186.08,178.54,199.13,194.2,218.99,184.69,208.42,234.53,195.78,186.21,198.55,173.27,218.27,236.34,236.66,198.51,248.82,197.39,182.44,158.7,61.6,170.05,214.81,221.23,187.07,88.9,255.89,191.71,215.8,208.31,190.65,219.55,175.38,190.24,196.56,210.67,184.07,169.18,175.08,172.93,183.36,211.99,208.07,259.14,200.78,182.91,132.18,203.68,182.26,220.49,191.92,217.47,208.11,181.55,168.21,202.25,176.93,246.33,185.06
2020-08-29,178.86,265.14,161.64,69.98,208.01,176.19,179.64,266.02,168.3,176.38,407.81,232.84,204.41,177.83,191.86,189.72,187.98,179.06,194.87,200.51,204.64,269.47,181.96,175.62,154.1,212.33,296.62,219.08,182.96,198.59,401.5,176.57,270.47,162.67,213.4,175.14,207.93,199.36,227.02,186.98,210.54,215.52,222.54,200.17,198.96,176.4,233.53,255.05,256.64,199.11,268.77,195.35,174.25,153.44,57.85,188.5,216.44,228.19,188.32,71.01,297.04,185.11,221.8,202.85,220.42,228.83,173.97,213.37,194.11,217.89,208.3,175.69,188.79,279.19,185.42,226.11,249.89,304.67,188.1,168.29,78.12,201.79,179.96,217.13,192.79,210.8,237.46,180.53,192.63,191.74,179.34,263.72,193.12
2020-08-30,125.63,168.8,117.98,58.1,140.61,117.61,126.35,168.72,133.99,136.09,358.98,167.83,158.54,138.49,150.03,143.26,120.01,124.69,144.04,163.46,155.23,180.58,121.1,128.61,107.53,168.35,255.31,175.1,124.71,145.55,202.72,127.19,198.93,121.39,154.1,128.09,159.12,141.42,166.6,143.79,187.59,122.6,170.18,138.54,140.83,110.89,169.8,175.97,223.07,157.04,180.49,142.63,132.28,112.66,45.87,122.17,164.52,182.91,136.43,47.57,195.62,143.7,189.14,143.84,163.77,188.55,131.85,175.06,135.78,166.06,138.22,175.07,135.76,176.51,132.54,145.44,194.09,230.26,133.45,134.28,60.36,141.28,121.97,120.99,173.81,160.11,159.22,126.01,120.98,136.91,118.67,212.53,136.43
2020-08-31,147.9,196.96,131.46,67.23,148.47,152.49,148.42,197.1,129.63,143.91,187.39,143.98,161.06,142.52,140.41,144.97,135.57,148.16,132.74,154.4,162.87,258.45,135.88,162.4,119.9,155.6,183.09,186.87,150.09,148.72,147.01,138.27,221.34,135.78,140.02,145.39,156.64,151.17,156.94,140.99,165.14,146.46,142.09,151.25,151.02,139.54,170.94,185.79,177.92,168.24,201.62,139.72,148.54,126.52,58.36,126.6,162.81,162.92,134.31,56.73,167.74,140.04,158.43,165.16,143.95,177.17,143.75,159.2,148.93,171.44,143.92,155.75,139.96,132.02,147.45,166.27,162.94,195.6,153.61,141.05,102.43,161.55,142.82,165.91,146.75,165.67,154.1,150.45,128.42,152.45,142.35,168.71,143.6
2020-09-01,155.7,206.89,139.13,60.85,154.65,158.47,155.92,208.54,131.23,148.06,181.56,167.98,167.18,147.4,152.93,143.62,138.25,156.77,142.9,153.05,169.63,271.4,145.07,167.95,126.24,162.87,160.95,183.44,156.22,158.86,154.43,148.54,216.39,146.73,163.88,151.87,169.68,159.25,178.15,142.04,146.0,170.04,156.36,169.27,164.98,145.24,173.9,216.93,173.21,168.22,199.04,149.59,156.72,132.62,51.73,134.12,167.59,161.6,138.09,57.94,166.93,147.08,131.33,170.31,158.5,175.2,161.85,158.28,170.03,160.99,149.42,141.59,146.54,146.03,152.87,160.21,161.86,179.92,141.36,147.05,111.53,136.71,148.0,169.52,151.58,173.28,169.96,146.07,131.51,157.78,161.74,157.15,168.99
2020-09-02,156.88,208.29,140.97,70.15,157.83,165.74,156.99,208.59,133.51,151.23,174.41,179.49,169.53,155.08,169.97,146.52,139.35,165.63,150.0,161.56,169.8,247.44,141.81,174.71,122.61,152.1,193.56,181.24,153.4,155.36,146.58,149.22,227.91,147.57,154.06,153.24,162.18,164.41,160.63,150.64,148.84,152.91,156.64,165.53,166.4,145.53,179.73,212.07,183.81,165.43,224.69,161.62,160.61,134.9,60.02,136.08,176.92,178.58,134.89,52.61,162.86,152.34,161.08,175.63,142.46,182.3,143.86,173.87,176.53,164.17,181.95,182.44,146.3,136.85,158.07,220.7,157.75,191.3,125.89,142.91,101.54,166.96,151.79,187.07,144.64,171.59,161.48,149.55,134.53,167.66,148.7,159.55,155.44
2020-09-03,171.34,213.74,151.79,73.55,169.25,176.97,171.81,215.38,147.71,166.47,204.23,195.17,199.29,161.03,173.69,165.92,158.69,187.39,148.77,172.69,184.51,271.21,154.48,184.05,139.39,173.63,185.67,197.28,188.56,168.35,155.82,161.13,240.82,161.3,177.92,164.23,187.66,173.76,194.39,157.13,183.55,174.89,172.13,174.58,178.29,161.67,195.33,214.09,219.43,178.03,232.77,174.09,169.11,145.31,62.54,147.68,192.62,201.62,143.62,53.02,191.55,167.19,164.61,191.31,156.94,198.96,183.53,174.9,184.33,180.71,184.27,171.61,159.15,144.42,175.52,234.01,192.93,221.23,152.56,154.96,95.92,170.43,161.86,188.33,173.81,182.87,169.63,164.05,140.84,179.66,162.92,186.62,175.27
2020-09-04,199.58,262.63,176.76,74.85,223.47,191.56,201.66,263.6,202.9,209.68,320.41,246.51,245.99,204.04,211.55,232.12,204.98,242.98,215.83,231.67,219.15,265.99,200.2,209.56,172.78,231.43,280.19,268.43,209.8,223.14,221.05,183.12,301.43,180.89,213.52,193.34,230.06,213.99,263.64,217.39,252.11,183.68,215.16,229.57,222.97,183.93,257.02,278.69,279.96,224.44,273.77,211.06,199.01,169.58,63.69,199.93,255.86,279.93,177.14,62.2,243.47,219.41,265.49,226.3,205.12,247.15,207.45,224.16,246.64,262.18,234.75,219.26,206.74,210.38,210.86,279.35,248.59,335.89,207.56,183.19,92.11,228.57,191.65,207.98,217.66,229.56,230.25,210.28,188.84,220.59,194.12,284.07,210.25
2020-09-05,173.35,255.01,162.28,75.65,237.87,166.46,174.15,256.53,201.4,176.52,558.7,239.75,207.43,179.94,223.51,223.83,211.97,202.89,213.83,236.37,195.98,225.12,198.21,176.17,141.33,245.76,347.58,245.86,185.17,216.01,217.2,176.72,290.42,156.76,236.08,171.69,235.45,198.2,223.01,183.81,248.12,191.39,262.63,221.51,195.83,157.63,277.77,287.89,328.04,212.45,273.07,212.99,188.94,155.62,63.45,225.11,248.35,261.91,173.39,57.23,241.96,194.17,236.98,227.57,255.98,260.32,187.93,269.24,239.22,253.02,222.39,211.61,200.47,288.73,200.46,239.51,255.44,354.65,210.51,172.97,65.61,176.42,174.68,187.49,205.71,216.57,276.23,178.85,200.49,224.66,162.3,331.98,191.5
2020-09-06,129.65,173.77,121.77,58.91,169.7,126.1,130.59,172.62,155.95,133.95,498.31,193.91,171.0,149.43,171.65,149.18,133.03,142.9,179.37,192.46,149.51,159.03,164.08,129.21,114.43,182.97,317.47,199.16,139.86,156.46,173.24,130.2,199.25,121.76,215.77,130.14,175.2,145.95,179.0,168.7,196.39,139.37,236.26,195.93,146.12,125.2,218.92,215.02,242.07,153.47,189.53,166.2,136.94,117.46,50.63,161.82,192.72,199.11,134.11,36.35,198.98,159.67,189.41,169.04,205.2,181.07,150.38,197.56,168.12,206.73,183.49,168.78,160.7,237.51,148.49,153.81,210.45,318.04,153.08,136.57,48.23,151.37,129.2,177.58,145.61,148.79,183.61,148.49,148.49,155.0,123.22,285.89,152.99
2020-09-07,119.2,159.98,109.61,58.03,129.22,113.81,121.23,160.28,195.75,134.41,385.32,164.34,144.65,148.33,163.36,166.78,138.58,138.69,144.02,184.34,141.42,160.29,133.47,126.08,101.13,168.64,270.29,201.1,150.66,135.91,152.99,115.46,165.99,112.77,171.92,120.17,162.62,133.88,179.27,186.68,214.05,117.31,188.62,156.89,141.85,113.01,186.53,314.6,296.11,154.65,174.28,157.67,126.04,104.28,49.29,115.87,185.84,267.71,124.18,38.34,153.92,151.12,208.83,165.6,184.56,205.18,146.3,172.07,142.89,180.12,143.73,198.87,172.46,219.32,127.29,176.01,228.41,278.26,142.92,126.75,64.2,161.61,118.57,132.24,160.02,141.71,162.46,135.89,144.7,153.16,122.25,280.22,141.12
2020-09-08,153.04,204.58,138.53,68.98,153.01,160.2,153.84,206.17,134.97,160.76,204.99,164.34,170.29,151.74,143.87,168.36,145.24,156.82,151.27,163.04,172.66,226.09,164.02,163.37,129.41,150.39,190.98,164.75,157.25,156.57,155.4,147.81,221.46,147.68,181.58,147.35,180.28,165.72,168.25,152.14,149.69,149.87,163.08,173.17,163.49,140.61,170.94,201.36,171.27,151.41,186.15,159.98,155.91,132.37,59.62,130.63,160.09,166.43,131.11,43.9,164.29,156.16,140.07,187.47,133.63,168.97,180.43,167.38,164.76,174.78,169.02,151.5,144.02,142.93,145.16,184.9,150.04,180.13,135.53,138.99,81.31,146.8,150.49,170.53,165.29,168.47,153.36,151.19,154.95,164.8,161.28,173.65,159.21
2020-09-09,158.88,217.5,140.03,70.85,152.27,156.46,158.64,220.22,141.17,151.88,214.11,166.79,179.77,154.11,162.65,159.18,154.52,151.05,149.77,165.41,178.86,235.46,156.85,166.3,135.03,145.69,189.13,149.35,158.18,150.28,144.12,150.85,222.84,142.36,166.89,150.53,210.89,168.24,166.21,147.29,146.77,161.43,161.63,174.58,165.29,138.59,177.97,206.52,169.46,158.24,212.31,166.46,161.14,133.26,59.03,129.64,160.46,171.69,128.45,43.54,162.08,152.87,135.22,169.45,138.83,171.34,170.05,161.64,179.82,180.55,156.95,148.73,142.4,136.14,152.11,200.14,166.62,183.83,150.65,139.65,73.19,152.36,155.69,167.25,153.6,169.31,156.8,163.18,155.37,180.53,157.54,168.18,157.79
2020-09-10,165.66,204.63,145.34,66.46,156.33,173.5,166.34,205.89,141.46,168.09,214.39,179.05,174.7,162.52,168.24,167.91,165.34,160.37,165.37,178.66,186.29,227.73,174.31,174.4,143.88,162.87,181.72,175.68,171.66,161.72,180.45,156.23,237.77,147.3,177.8,157.98,217.76,165.58,183.99,158.51,153.65,162.69,168.3,185.38,172.87,154.04,180.9,199.22,181.4,166.38,218.59,170.51,162.17,138.08,56.68,131.74,177.89,181.59,136.17,47.15,182.52,157.38,155.87,170.65,144.62,183.77,183.48,177.36,192.89,180.44,177.03,160.74,154.08,155.04,161.15,198.92,179.88,200.33,137.53,143.59,74.88,169.07,155.27,175.99,164.85,182.11,182.83,164.35,161.96,181.4,158.16,168.14,162.84
2020-09-11,195.4,259.93,170.82,74.55,196.82,189.77,195.74,260.56,184.08,192.88,294.83,234.47,213.3,189.2,182.54,193.69,229.44,196.25,182.86,220.96,221.58,289.37,176.82,199.58,163.45,198.86,232.85,219.92,193.58,198.72,213.3,182.17,279.97,176.79,215.49,182.43,251.77,196.5,226.79,189.01,202.42,167.44,193.56,207.31,206.64,166.26,222.31,239.52,230.32,196.11,250.92,210.72,192.34,163.12,60.98,169.56,202.13,238.36,169.38,61.28,229.94,194.29,203.18,212.67,176.91,212.86,199.84,222.64,224.31,235.61,184.36,185.44,182.03,182.29,191.12,252.3,199.57,264.62,188.18,174.69,81.09,184.45,184.25,202.18,203.51,205.97,212.87,197.88,193.96,217.98,187.67,218.16,198.68
2020-09-12,193.12,269.82,168.38,73.62,209.62,183.51,193.48,271.52,222.14,183.02,457.86,262.26,210.37,193.35,206.46,204.06,246.86,191.98,228.56,226.71,215.48,238.07,199.09,179.23,166.84,286.53,285.51,218.89,178.72,227.99,205.82,187.87,294.5,175.03,230.81,184.0,236.42,199.49,225.55,195.78,194.34,163.95,236.76,230.32,217.71,173.73,238.17,240.64,236.85,186.23,245.04,243.82,185.94,157.42,59.38,181.81,209.21,261.91,174.31,59.2,231.65,205.94,183.14,216.17,220.71,200.02,208.59,224.3,227.6,273.49,229.92,204.14,238.7,240.55,177.91,226.48,216.87,305.18,219.2,169.8,64.62,188.71,180.2,204.7,179.88,210.11,210.49,198.38,211.86,206.81,172.28,225.01,185.39
2020-09-13,131.13,174.16,118.52,54.18,131.69,121.46,131.89,174.42,155.84,133.24,341.11,177.27,171.63,139.76,147.94,151.43,128.87,131.82,150.12,163.97,153.34,155.46,136.18,126.67,108.73,165.65,195.09,171.54,131.55,163.96,152.56,132.02,189.07,121.57,159.81,127.87,165.68,141.67,156.73,138.35,174.08,110.67,155.69,133.72,143.64,111.67,165.42,174.07,210.46,154.33,186.15,144.71,132.07,111.92,44.82,114.14,159.15,191.26,119.41,30.1,168.12,144.04,200.53,143.77,161.32,179.25,149.18,160.55,128.36,183.41,145.66,156.15,158.59,178.35,130.46,136.27,169.65,222.34,131.71,128.5,44.77,138.92,123.68,143.74,151.76,146.96,159.55,137.66,142.25,143.79,132.02,191.28,134.28
2020-09-14,148.06,182.35,132.11,67.3,143.22,153.66,148.22,182.68,130.65,147.5,204.99,181.65,173.77,154.14,133.64,161.1,144.09,152.89,147.28,165.71,176.26,203.57,149.82,160.72,131.84,149.75,173.83,193.73,154.97,142.14,147.22,140.69,202.69,139.54,163.68,141.61,167.78,159.21,157.94,139.72,145.05,142.69,161.69,172.51,157.82,140.84,174.3,184.12,170.33,157.72,203.09,151.75,156.07,126.25,57.88,122.62,153.23,168.91,120.08,38.9,176.16,144.51,148.1,162.1,134.08,175.03,140.22,161.78,175.54,175.97,156.56,134.05,142.51,145.2,144.71,169.29,147.08,173.17,141.62,132.35,60.25,144.8,144.45,154.91,160.81,162.31,157.66,147.52,160.98,157.0,151.05,170.41,149.06
2020-09-15,156.75,211.76,137.79,67.84,150.31,147.74,156.92,215.0,130.21,165.68,194.36,178.97,171.25,157.54,147.58,154.18,154.14,155.69,142.29,151.78,186.59,219.32,147.74,171.07,133.38,148.9,160.47,193.53,161.71,152.45,158.39,148.41,225.49,140.56,164.32,146.47,185.61,161.55,163.32,148.46,141.79,155.07,158.8,161.88,163.95,142.57,177.95,202.52,176.4,158.9,196.11,155.99,156.68,131.19,58.92,127.61,162.69,170.3,122.88,40.25,188.62,150.8,147.66,164.37,139.64,177.79,156.25,151.68,169.72,173.55,150.58,133.99,145.11,153.97,152.12,179.02,173.04,170.07,158.04,132.96,69.01,137.61,146.14,148.03,155.1,169.34,175.41,152.98,165.75,164.02,155.75,161.45,163.6
2020-09-16,161.27,210.27,143.83,72.59,158.83,165.23,161.59,211.77,133.04,160.0,211.57,180.46,174.65,154.6,150.89,156.44,141.89,230.87,145.2,168.42,179.62,211.3,156.76,168.09,135.56,157.8,181.4,188.81,161.6,155.76,159.51,154.79,238.08,142.62,169.31,155.69,212.03,157.8,161.67,141.47,145.23,159.64,167.07,190.37,175.26,145.93,179.55,212.73,186.17,165.15,213.85,161.06,157.98,136.16,61.84,134.75,159.69,167.25,124.12,39.54,184.03,157.14,138.04,175.52,133.33,180.19,159.18,160.31,184.63,175.7,155.02,136.94,147.32,154.44,154.7,184.2,164.24,177.93,151.0,138.85,71.35,150.63,151.7,169.1,166.43,165.35,158.28,153.69,159.02,179.06,144.5,162.51,160.73
2020-09-17,164.69,212.73,149.65,78.14,161.27,166.18,165.55,214.05,145.24,158.18,223.14,191.38,189.47,166.58,149.62,165.25,149.93,166.62,160.45,180.02,184.16,214.01,162.03,171.93,140.26,178.97,194.69,205.89,177.65,160.35,168.75,158.4,232.66,153.42,187.97,164.52,250.88,166.3,167.4,166.77,166.28,163.41,179.01,185.05,184.81,144.95,189.27,202.45,191.99,169.54,219.21,171.93,167.82,142.31,63.26,137.48,177.07,192.11,131.48,45.03,193.52,162.72,166.2,174.77,147.66,185.2,168.59,165.3,196.71,191.22,162.84,178.3,161.36,156.29,161.88,188.19,163.59,191.45,161.34,141.92,68.4,145.69,157.29,176.41,164.32,183.32,170.2,153.98,184.91,201.83,161.74,179.45,169.55
2020-09-18,194.45,273.82,175.06,80.14,203.35,192.85,195.92,279.02,177.74,198.43,366.23,211.59,199.54,193.25,204.02,193.75,197.85,191.88,193.71,221.3,214.43,252.08,192.02,201.18,167.0,204.35,232.85,246.38,201.78,203.61,193.86,186.86,280.72,176.32,218.87,186.47,247.6,198.13,225.34,194.0,215.87,161.17,203.0,208.64,214.58,163.98,234.12,246.31,238.1,199.41,248.79,198.03,197.83,166.76,64.76,177.2,218.2,244.32,170.84,61.68,222.68,201.06,192.59,196.43,182.55,217.22,201.14,219.06,225.76,230.98,211.29,198.64,196.86,193.74,192.33,224.32,209.66,242.52,182.8,170.11,76.58,209.77,193.59,233.08,191.39,206.62,199.63,193.52,202.25,227.07,184.35,225.09,190.78
2020-09-19,191.38,294.46,169.06,88.42,217.21,179.15,192.59,296.01,205.72,178.4,579.96,244.65,207.34,199.94,212.93,193.75,192.72,191.57,226.3,253.85,204.75,245.22,195.99,177.97,164.38,235.64,301.93,248.71,194.76,206.97,213.73,188.74,303.21,172.21,219.07,185.5,234.37,198.0,239.16,185.81,203.84,155.25,261.74,230.56,214.27,159.19,266.51,234.2,260.15,204.12,257.79,225.32,196.16,158.03,70.14,191.4,219.66,242.61,170.36,58.42,228.31,213.91,205.74,236.29,213.44,227.07,211.03,218.36,247.09,274.25,200.48,195.3,275.28,279.19,182.29,232.69,225.09,272.36,191.05,169.14,62.42,202.84,203.07,222.08,188.58,202.91,238.2,207.41,222.53,197.45,180.72,236.72,203.07
2020-09-20,128.2,168.18,118.84,66.93,137.74,112.24,129.37,163.08,151.48,141.42,408.94,173.25,149.27,143.53,143.77,145.94,126.57,132.28,155.36,186.28,147.42,138.55,124.94,122.82,110.44,183.32,214.98,191.46,129.48,142.99,139.42,130.23,183.45,116.05,178.56,129.05,195.32,140.14,161.7,155.33,194.82,112.02,177.73,139.7,148.49,106.94,175.46,148.1,205.31,154.77,183.65,138.38,141.38,112.27,54.91,122.02,157.49,187.35,117.25,28.62,173.37,155.26,195.15,143.94,153.01,184.55,147.39,155.06,129.97,191.76,152.51,164.14,195.15,184.91,130.58,122.44,167.48,201.23,143.27,125.72,41.08,143.8,131.73,148.45,164.94,141.01,161.72,128.05,160.35,151.86,125.93,206.73,136.26
2020-09-21,142.31,174.4,130.57,73.46,142.01,148.57,142.98,178.36,129.04,150.03,241.49,162.63,153.29,148.61,146.56,141.76,132.31,150.18,131.33,160.08,151.21,195.65,153.76,152.34,126.75,154.95,154.91,176.78,149.73,143.98,142.15,139.51,207.28,146.09,164.24,143.29,180.67,152.18,153.93,144.62,149.49,127.44,146.64,159.55,152.82,122.91,170.11,168.21,168.27,148.2,200.22,146.28,144.87,124.0,61.47,118.55,162.56,158.58,113.21,33.77,169.05,144.8,152.6,151.91,140.98,163.4,148.53,151.46,184.63,151.35,152.7,138.7,146.23,145.5,139.07,153.53,165.1,168.53,132.75,120.27,50.5,135.61,140.36,181.86,149.03,151.99,138.24,148.08,145.54,161.29,138.98,158.9,139.9
2020-09-22,149.68,191.42,132.91,77.46,149.11,154.16,150.11,193.36,125.91,148.23,215.52,155.79,160.51,149.33,144.99,141.95,144.71,152.63,129.73,153.56,158.25,190.72,148.23,160.59,125.33,163.15,157.73,167.59,149.38,145.63,156.57,143.8,224.82,140.28,154.3,145.0,180.65,146.02,160.72,146.24,141.19,155.16,152.03,160.38,158.27,130.25,165.87,212.03,160.46,148.74,196.8,162.73,145.64,125.95,63.63,126.51,162.37,160.48,116.03,34.52,169.74,150.58,138.04,159.01,166.67,161.23,155.33,152.48,172.48,157.54,137.93,140.68,140.28,144.07,141.16,159.17,157.39,165.19,135.45,125.94,57.62,139.29,141.15,161.29,145.08,158.19,147.66,142.37,142.95,160.34,152.17,149.13,157.32
2020-09-23,150.46,190.89,135.0,71.41,148.84,155.11,150.56,193.45,138.47,150.42,209.6,158.32,157.24,146.42,154.55,151.68,142.46,147.14,129.93,154.36,159.05,186.18,142.14,162.6,120.22,150.75,166.83,169.21,154.33,166.91,146.47,148.4,222.53,147.42,155.07,144.17,189.52,161.22,173.8,141.82,146.8,150.31,153.86,170.76,161.68,129.73,165.28,212.73,166.59,153.8,190.56,150.37,157.69,127.43,60.42,124.59,159.42,164.0,118.63,35.12,168.76,161.42,169.55,174.42,129.84,166.76,142.01,159.92,162.77,167.73,137.93,144.48,140.45,150.63,143.05,160.07,151.69,172.09,130.93,124.31,55.03,142.44,147.91,167.17,137.52,159.75,164.14,142.2,148.35,159.98,159.08,148.2,149.98
