date,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-18,LaPorte County,100,102,95,100,102,100
2020-02-18,Lawrence County,104,101,,,100,101
2020-02-18,Madison County,107,101,,104,103,100
2020-02-18,Marion County,104,98,99,105,103,100
2020-02-18,Marshall County,106,104,,95,100,101
2020-02-18,Martin County,97,122,,,101,
2020-02-18,Miami County,104,103,,,99,100
2020-02-18,Monroe County,97,103,98,102,102,100
2020-02-18,Montgomery County,100,89,,95,102,100
2020-02-18,Morgan County,103,98,,,100,100
2020-02-18,Newton County,92,,,,108,
2020-02-18,Noble County,103,111,,,102,100
2020-02-18,Ohio County,,,,,102,
2020-02-18,Orange County,99,104,,,101,
2020-02-18,Owen County,91,97,,,102,
2020-02-18,Parke County,,102,,,101,
2020-02-18,Perry County,97,97,,,101,
2020-02-18,Pike County,,91,,,103,
2020-02-18,Porter County,101,98,106,100,101,100
2020-02-18,Posey County,106,111,,,105,99
2020-02-18,Pulaski County,104,107,,,105,
2020-02-18,Putnam County,103,97,,,102,99
2020-02-18,Randolph County,97,97,,,100,101
2020-02-18,Ripley County,102,101,,,103,101
2020-02-18,Rush County,106,100,,,99,
2020-02-18,Scott County,105,102,,,100,100
2020-02-18,Shelby County,101,97,,95,102,101
2020-02-18,Spencer County,101,100,,,102,
2020-02-18,St. Joseph County,101,97,95,106,101,100
2020-02-18,Starke County,101,105,,,103,
2020-02-18,Steuben County,101,98,,98,103,101
2020-02-18,Sullivan County,101,97,,,102,
2020-02-18,Switzerland County,,98,,,103,
2020-02-18,Tippecanoe County,100,102,89,106,102,100
2020-02-18,Tipton County,112,106,,,102,
2020-02-18,Union County,,,,,105,
2020-02-18,Vanderburgh County,101,98,,,102,100
2020-02-18,Vermillion County,108,,,98,98,
2020-02-18,Vigo County,101,102,,102,101,100
2020-02-18,Wabash County,121,101,,,101,101
2020-02-18,Warren County,,,,,102,
2020-02-18,Warrick County,99,98,,,104,100
2020-02-18,Washington County,99,98,,,99,102
2020-02-18,Wayne County,100,96,,97,100,100
2020-02-18,Wells County,107,101,,,103,101
2020-02-18,White County,110,119,,,102,99
2020-02-18,Whitley County,103,98,,,99,101
2020-02-19,,104,100,109,105,102,100
2020-02-19,Adams County,104,94,,,102,100
2020-02-19,Allen County,106,99,101,107,102,100
