,date,case_count_daily,avg_cases_by_week,grociery_pharmacy_mobility,parks_mobility,retail_recreation_mobility,transit_stations_mobility,workplace_mobility,driving_mobility_vehicle,transit_mobility_vehicle,walking_mobility_instance,std_last_week_grociery_pharmacy_mobility,std_last_week_park_mobility,std_last_week_retail_recreation_mobility,std_last_week_transit_station_mobility,std_last_week_workplace_mobility
75,4.30.20,137.0,676.0,92,72,65,59,52,82.83,43.08,63.68,3.1139088893910496,35.0957872929827,4.688511795564009,6.04152298679729,5.8736700622353695
76,5.1.20,95.0,676.0,97,139,70,70,54,100.67,49.45,86.84,3.32737562824346,29.6298594567806,4.1317585325655894,5.02671434864337,5.52268050859363
77,5.2.20,116.0,509.0,102,226,66,84,70,95.51,49.29,92.96,4.688511795564009,47.7940148673749,4.89168390521827,8.43038721361176,7.19126454208755
78,5.3.20,65.0,509.0,93,149,66,62,67,69.2,42.01,62.55,4.59619407771256,48.1142613250702,5.33853912601566,8.618916073713349,7.3569694847810805
79,5.4.20,41.0,509.0,94,125,74,65,56,88.31,53.09,75.0,3.7416573867739396,48.0474096224611,5.12521776540833,7.96308447058766,7.10633520177595
80,5.5.20,72.0,509.0,98,75,72,64,55,84.22,44.42,69.35,3.62284418654736,52.108232143710794,5.20988072251728,8.01338166533242,7.04956938907821
81,5.6.20,66.0,509.0,99,122,73,70,56,90.58,44.18,81.07,3.84521966676993,51.7616446526079,5.02671434864337,7.87400787401181,6.86086208660607
82,5.7.20,61.0,509.0,97,125,72,67,55,95.19,48.62,83.73,3.33809184158512,48.0399759129237,4.713203338949611,7.61460063674667,6.577830732305079
83,5.8.20,92.0,509.0,96,94,66,64,56,102.4,45.92,86.1,2.82842712474619,44.824857580843,4.56500664997169,6.98467710676122,6.186101934405639
84,5.9.20,92.0,401.0,109,167,67,77,73,100.59,47.02,90.47,5.09901951359278,46.52169232887879,5.153015760559191,7.642690251849429,7.63450812336422
85,5.10.20,49.0,401.0,100,115,67,65,70,70.42,36.61,61.46,4.94974746830583,28.814678798933603,5.153015760559191,4.77343841331532,7.63450812336422
86,5.11.20,35.0,401.0,89,89,68,61,57,,45.49,72.17,5.7008771254956905,28.440413900946396,4.7188830397518,4.9262416853882804,7.32412842206205
87,5.12.20,79.0,401.0,98,123,75,73,58,,31.66,66.28,5.496752287877429,28.3385149323571,4.7188830397518,5.3435541944076395,7.21110255092798
88,5.13.20,39.0,401.0,98,113,73,69,57,98.74,44.63,88.83,5.496752287877429,23.72461048905,4.5493327611231695,5.1478150704935,7.04576874037583
